run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11604.7,0.495,11604.7,0.511,2219.09,1.631,2219.09,0.943,4304.37,1.583,4304.37,1.799,4294.53,1.847,4294.53,1.799
2,11375.6,0.431,11375.6,0.495,2213.07,1.191,2213.07,1.087,4298.48,1.695,4298.48,1.647,4313.01,1.783,4313.01,1.919
3,11306,1.087,11306,0.839,2201.71,1.287,2201.71,1.199,4325.96,1.703,4325.96,1.727,4315.55,1.943,4315.55,1.791
