run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11371.4,2.271,11371.4,1.703,2126.73,5.567,2126.73,2.559,4323.48,1.359,4323.48,1.407,4314.54,1.511,4314.54,1.591
2,11509.9,0.455,11509.9,0.519,2132.43,4.543,2132.43,4.991,4043.29,16.767,4043.29,14.015,4335.44,1.655,4335.44,1.775
3,11662.2,0.695,11662.2,0.399,2186.9,1.287,2186.9,1.063,4322.78,1.583,4322.78,1.599,4309.14,1.471,4309.14,1.535
