run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11099,0.495,11099,0.455,2198.92,1.031,2198.92,2.927,4303.06,1.695,4303.06,1.951,4303.18,1.535,4303.18,1.575
2,10808.9,0.511,10808.9,0.495,2189.38,1.031,2189.38,0.943,4278.62,1.695,4278.62,1.711,4291.75,2.255,4291.75,1.591
3,11085,1.031,11085,0.935,2187.42,1.071,2187.42,0.895,4315.71,1.519,4315.71,1.535,4339.49,1.559,4339.49,1.687
