run,target,workload,ops_sec,avg_lat_ms,p99_ms,outdir
1,garnet,set,37484.19,0.10648,0.17500,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-1
1,garnet,get,36160.34,0.11038,0.19900,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-1
1,dragonfly,set,54062.94,0.07390,0.14300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-1
1,dragonfly,get,53525.13,0.07466,0.14300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-1
2,garnet,set,36510.95,0.10935,0.18300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-2
2,garnet,get,37028.27,0.10776,0.18300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-2
2,dragonfly,set,53270.95,0.07499,0.14300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-2
2,dragonfly,get,54300.98,0.07358,0.14300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-2
3,garnet,set,36341.45,0.10983,0.19900,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-3
3,garnet,get,36832.33,0.10837,0.18300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-3
3,dragonfly,set,53494.35,0.07468,0.14300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-3
3,dragonfly,get,54641.57,0.07310,0.14300,/Users/kazuki-matsuda/dev/src/github.com/microsoft/garnet/garnet-rs/benches/results/linux-perf-diff-median-owner2-20260223-013807/run-3
