run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11550,0.655,11550,0.519,2067.59,1.943,2067.59,4.095,4336.76,1.927,4336.76,1.991,4316.64,1.671,4316.64,1.687
2,11761.5,1.855,11761.5,1.495,2188.36,1.415,2188.36,1.671,4295.39,1.647,4295.39,1.615,4379.57,1.503,4379.57,1.583
3,11176.7,0.919,11176.7,0.767,2214.05,1.151,2214.05,1.183,4306.79,1.463,4306.79,1.471,4340.32,1.767,4340.32,1.735
