run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11276.2,0.751,11276.2,0.703,2104.37,27.647,2104.37,27.775,4357.36,1.607,4357.36,1.607,4435.68,1.591,4435.68,1.591
2,11641.5,0.495,11641.5,0.423,2261.37,0.967,2261.37,0.839,4350.78,1.559,4350.78,1.775,4446.53,1.343,4446.53,1.287
3,11730.5,0.511,11730.5,0.503,2304.04,6.655,2304.04,1.543,4430.27,1.551,4430.27,1.567,4467.78,1.735,4467.78,1.711
