run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,2801.71,2.383,2801.71,2.303,2204.3,1.063,2204.3,0.919,4307.4,1.687,4307.4,1.879,4333.51,1.415,4333.51,1.791
2,2771.53,2.383,2771.53,2.367,2127.38,1.943,2127.38,2.127,4298.98,1.663,4298.98,2.007,4307.01,1.247,4307.01,1.447
3,2752.4,5.023,2752.4,4.895,2187.66,1.511,2187.66,0.911,4321.22,1.695,4321.22,1.703,4281.63,1.607,4281.63,1.599
