run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11252.4,0.527,11252.4,0.471,2187.62,1.127,2187.62,0.887,4294.12,1.647,4294.12,1.647,4309.95,1.447,4309.95,1.607
2,10901,0.567,10901,0.639,2187.23,1.759,2187.23,0.951,4278.34,1.471,4278.34,1.535,4265.57,1.415,4265.57,1.455
3,11491.9,0.455,11491.9,0.447,2190.22,2.023,2190.22,2.703,3765.58,2.367,3765.58,2.159,4270.6,1.671,4270.6,1.631
