run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11422.6,1.583,11422.6,1.439,1811.35,6.271,1811.35,6.271,4410.08,5.343,4410.08,1.791,4350.15,3.263,4350.15,5.119
2,11276.6,2.783,11276.6,1.479,1804.61,5.759,1804.61,6.207,4319.69,6.367,4319.69,6.303,4311.81,5.535,4311.81,4.735
3,10543.1,2.815,10543.1,3.199,1792.55,5.855,1792.55,5.535,4305.7,3.951,4305.7,3.983,4388.03,4.415,4388.03,4.479
