run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,9531.01,0.519,9531.01,0.551,2224.89,3.039,2224.89,2.319,4350.52,1.639,4350.52,1.663,4371.69,1.623,4371.69,1.583
2,9663.08,0.639,9663.08,0.615,2242.43,2.927,2242.43,0.967,4350.37,1.663,4350.37,1.631,4356.95,1.711,4356.95,1.679
3,9656.75,0.639,9656.75,0.631,2221.61,1.455,2221.61,1.167,4335.34,1.647,4335.34,1.727,4362.47,1.791,4362.47,1.671
