run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11348.8,0.535,11348.8,0.543,2218.83,1.191,2218.83,1.087,4353.11,1.615,4353.11,1.639,4328.21,1.847,4328.21,4.255
2,11094.6,0.855,11094.6,0.535,2196.88,1.279,2196.88,0.967,4295.34,1.839,4295.34,2.239,4334.56,1.543,4334.56,1.551
3,11407.3,0.503,11407.3,0.527,2236.42,1.215,2236.42,1.007,4362.53,1.583,4362.53,1.559,4363.52,1.535,4363.52,1.751
