run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11074.3,2.111,11074.3,3.327,1773.67,6.175,1773.67,5.983,4279.21,3.791,4279.21,3.791,4288.81,4.447,4288.81,3.999
2,11278.1,1.191,11278.1,2.463,1779.32,6.655,1779.32,6.559,4286.75,2.879,4286.75,2.895,4273.53,2.895,4273.53,4.799
3,10400.6,2.671,10400.6,2.927,1811.89,6.303,1811.89,7.903,4269.38,4.159,4269.38,4.047,4234.11,4.127,4234.11,4.223
