run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11181.2,1.143,11181.2,1.623,2192.38,1.791,2192.38,1.095,4298.49,1.351,4298.49,1.343,4258.24,1.551,4258.24,1.615
2,11477,0.575,11477,0.535,2158.69,1.519,2158.69,0.879,4292.21,3.359,4292.21,1.863,4332.72,1.487,4332.72,1.503
3,10966.1,0.711,10966.1,1.031,2167.74,1.231,2167.74,1.127,4284.17,1.687,4284.17,1.679,4284.4,1.679,4284.4,1.599
