run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,10980.2,0.567,10980.2,0.591,2178.81,1.111,2178.81,0.991,4279.18,1.607,4279.18,1.655,4297.7,1.727,4297.7,1.623
2,11255.5,0.439,11255.5,0.511,2179.88,0.911,2179.88,0.935,4241.9,1.711,4241.9,1.799,4253.79,1.999,4253.79,2.015
3,11555.4,0.495,11555.4,0.495,2163.86,1.287,2163.86,1.511,4271.56,1.567,4271.56,1.711,4291.44,1.679,4291.44,1.615
