run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11527,0.479,11527,0.487,2301.97,1.079,2301.97,1.143,4447.33,2.607,4447.33,1.855,4495.24,1.591,4495.24,1.551
2,11468.5,0.463,11468.5,0.503,2282.85,1.159,2282.85,1.463,4479.92,1.655,4479.92,1.647,4476.69,1.799,4476.69,1.799
3,11682.2,0.583,11682.2,0.583,2281.85,1.023,2281.85,1.031,4415.91,1.687,4415.91,1.623,4457.2,1.607,4457.2,1.775
