command,status,redis_present,garnet_present,notes
PSYNC,SUPPORTED_DECLARED,1,1,
PTTL,SUPPORTED_DECLARED,1,1,
PUBLISH,NOT_IMPLEMENTED,1,0,
PUBSUB,NOT_IMPLEMENTED,1,0,
PUNSUBSCRIBE,NOT_IMPLEMENTED,1,0,
QUIT,SUPPORTED_DECLARED,1,1,
RANDOMKEY,SUPPORTED_DECLARED,1,1,
READONLY,SUPPORTED_DECLARED,1,1,
READWRITE,SUPPORTED_DECLARED,1,1,
RENAME,SUPPORTED_DECLARED,1,1,
RENAMENX,SUPPORTED_DECLARED,1,1,
REPLCONF,SUPPORTED_DECLARED,1,1,
REPLICAOF,SUPPORTED_DECLARED,1,1,
RESET,SUPPORTED_DECLARED,1,1,
RESTORE,NOT_IMPLEMENTED,1,0,
RESTORE-ASKING,NOT_IMPLEMENTED,1,0,
ROLE,SUPPORTED_DECLARED,1,1,
RPOP,SUPPORTED_DECLARED,1,1,
RPOPLPUSH,SUPPORTED_DECLARED,1,1,
RPUSH,SUPPORTED_DECLARED,1,1,
RPUSHX,SUPPORTED_DECLARED,1,1,
SADD,SUPPORTED_DECLARED,1,1,
SAVE,SUPPORTED_DECLARED,1,1,
SCAN,SUPPORTED_DECLARED,1,1,
SCARD,SUPPORTED_DECLARED,1,1,
SCRIPT,SUPPORTED_DECLARED,1,1,
SDIFF,SUPPORTED_DECLARED,1,1,
SDIFFSTORE,SUPPORTED_DECLARED,1,1,
SELECT,SUPPORTED_DECLARED,1,1,
SET,SUPPORTED_DECLARED,1,1,
SETBIT,SUPPORTED_DECLARED,1,1,
SETEX,SUPPORTED_DECLARED,1,1,
SETNX,SUPPORTED_DECLARED,1,1,
SETRANGE,SUPPORTED_DECLARED,1,1,
SHUTDOWN,NOT_IMPLEMENTED,1,0,
SINTER,SUPPORTED_DECLARED,1,1,
SINTERCARD,SUPPORTED_DECLARED,1,1,
SINTERSTORE,SUPPORTED_DECLARED,1,1,
SISMEMBER,SUPPORTED_DECLARED,1,1,
SLAVEOF,SUPPORTED_DECLARED,1,1,
SLOWLOG,NOT_IMPLEMENTED,1,0,
SMEMBERS,SUPPORTED_DECLARED,1,1,
SMISMEMBER,SUPPORTED_DECLARED,1,1,
SMOVE,SUPPORTED_DECLARED,1,1,
SORT,NOT_IMPLEMENTED,1,0,
SORT_RO,NOT_IMPLEMENTED,1,0,
SPOP,SUPPORTED_DECLARED,1,1,
SPUBLISH,NOT_IMPLEMENTED,1,0,
SRANDMEMBER,SUPPORTED_DECLARED,1,1,
SREM,SUPPORTED_DECLARED,1,1,
SSCAN,SUPPORTED_DECLARED,1,1,
SSUBSCRIBE,NOT_IMPLEMENTED,1,0,
STRLEN,SUPPORTED_DECLARED,1,1,
SUBSCRIBE,NOT_IMPLEMENTED,1,0,
SUBSTR,SUPPORTED_DECLARED,1,1,
SUNION,SUPPORTED_DECLARED,1,1,
SUNIONSTORE,SUPPORTED_DECLARED,1,1,
SUNSUBSCRIBE,NOT_IMPLEMENTED,1,0,
SWAPDB,NOT_IMPLEMENTED,1,0,
SYNC,SUPPORTED_DECLARED,1,1,
TIME,SUPPORTED_DECLARED,1,1,
TOUCH,SUPPORTED_DECLARED,1,1,
TTL,SUPPORTED_DECLARED,1,1,
TYPE,SUPPORTED_DECLARED,1,1,
UNLINK,SUPPORTED_DECLARED,1,1,
UNSUBSCRIBE,NOT_IMPLEMENTED,1,0,
UNWATCH,SUPPORTED_DECLARED,1,1,
WAIT,SUPPORTED_DECLARED,1,1,
WAITAOF,SUPPORTED_DECLARED,1,1,
WATCH,SUPPORTED_DECLARED,1,1,
XACK,NOT_IMPLEMENTED,1,0,
XADD,SUPPORTED_DECLARED,1,1,
XAUTOCLAIM,NOT_IMPLEMENTED,1,0,
XCLAIM,NOT_IMPLEMENTED,1,0,
XDEL,SUPPORTED_DECLARED,1,1,
XGROUP,SUPPORTED_DECLARED,1,1,
XINFO,SUPPORTED_DECLARED,1,1,
XLEN,SUPPORTED_DECLARED,1,1,
XPENDING,NOT_IMPLEMENTED,1,0,
XRANGE,SUPPORTED_DECLARED,1,1,
XREAD,NOT_IMPLEMENTED,1,0,
XREADGROUP,SUPPORTED_DECLARED,1,1,
XREVRANGE,SUPPORTED_DECLARED,1,1,
XSETID,NOT_IMPLEMENTED,1,0,
XTRIM,NOT_IMPLEMENTED,1,0,
ZADD,SUPPORTED_DECLARED,1,1,
ZCARD,SUPPORTED_DECLARED,1,1,
ZCOUNT,SUPPORTED_DECLARED,1,1,
ZDIFF,SUPPORTED_DECLARED,1,1,
ZDIFFSTORE,SUPPORTED_DECLARED,1,1,
ZINCRBY,SUPPORTED_DECLARED,1,1,
ZINTER,SUPPORTED_DECLARED,1,1,
ZINTERCARD,SUPPORTED_DECLARED,1,1,
ZINTERSTORE,SUPPORTED_DECLARED,1,1,
ZLEXCOUNT,SUPPORTED_DECLARED,1,1,
ZMPOP,SUPPORTED_DECLARED,1,1,
ZMSCORE,SUPPORTED_DECLARED,1,1,
ZPOPMAX,SUPPORTED_DECLARED,1,1,
ZPOPMIN,SUPPORTED_DECLARED,1,1,
ZRANDMEMBER,SUPPORTED_DECLARED,1,1,
ZRANGE,SUPPORTED_DECLARED,1,1,
ZRANGEBYLEX,SUPPORTED_DECLARED,1,1,
ZRANGEBYSCORE,SUPPORTED_DECLARED,1,1,
ZRANGESTORE,SUPPORTED_DECLARED,1,1,
ZRANK,SUPPORTED_DECLARED,1,1,
ZREM,SUPPORTED_DECLARED,1,1,
ZREMRANGEBYLEX,SUPPORTED_DECLARED,1,1,
ZREMRANGEBYRANK,SUPPORTED_DECLARED,1,1,
ZREMRANGEBYSCORE,SUPPORTED_DECLARED,1,1,
ZREVRANGE,SUPPORTED_DECLARED,1,1,
ZREVRANGEBYLEX,SUPPORTED_DECLARED,1,1,
ZREVRANGEBYSCORE,SUPPORTED_DECLARED,1,1,
ZREVRANK,SUPPORTED_DECLARED,1,1,
ZSCAN,SUPPORTED_DECLARED,1,1,
ZSCORE,SUPPORTED_DECLARED,1,1,
ZUNION,SUPPORTED_DECLARED,1,1,
ZUNIONSTORE,SUPPORTED_DECLARED,1,1,
