run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,2783.7,1.959,2783.7,2.031,2148.03,1.167,2148.03,1.151,4354.66,1.583,4354.66,1.631,4233.38,1.567,4233.38,1.535
2,2763.71,2.687,2763.71,2.751,2178.68,1.631,2178.68,0.967,4321.96,1.407,4321.96,1.423,4311.8,1.727,4311.8,1.551
3,2737.61,2.703,2737.61,2.479,2158.18,0.887,2158.18,0.879,4334.1,1.423,4334.1,1.695,4284.09,1.695,4284.09,1.607
