run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,10943.8,1.007,10943.8,1.551,1771.16,5.791,1771.16,8.031,4379.37,2.495,4379.37,2.239,4295.3,3.375,4295.3,1.983
2,11091.9,1.215,11091.9,1.983,1821.73,5.503,1821.73,6.655,4347.93,4.511,4347.93,2.335,4369.19,4.047,4369.19,3.343
3,10924.5,3.039,10924.5,1.727,1806.15,5.439,1806.15,6.271,4344.49,2.175,4344.49,2.143,4345.62,3.183,4345.62,3.583
4,10936.3,2.735,10936.3,1.983,1776.95,5.919,1776.95,5.919,4374.27,2.895,4374.27,2.815,4324.65,4.079,4324.65,3.231
5,10655.9,1.775,10655.9,2.847,1809.96,5.503,1809.96,5.663,4346.22,4.223,4346.22,3.919,4365.65,3.455,4365.65,2.063
