run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11021,3.183,11021,3.087,1819.82,6.655,1819.82,5.759,4346.79,3.951,4346.79,4.351,4244.4,4.383,4244.4,4.831
2,10923.1,3.023,10923.1,3.135,1792.18,6.559,1792.18,6.591,4323.47,2.639,4323.47,4.159,4137.56,6.047,4137.56,5.983
3,11007.6,2.431,11007.6,2.399,1807.31,6.815,1807.31,5.983,4309.5,3.023,4309.5,2.223,4336.66,2.799,4336.66,3.823
