run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,10249.2,2.143,10249.2,2.303,1801.55,5.823,1801.55,6.143,4283.13,3.903,4283.13,3.887,4286.73,5.727,4286.73,2.991
2,11180.6,1.775,11180.6,2.847,1776.29,5.791,1776.29,5.535,4055.76,5.663,4055.76,5.695,4254.88,4.287,4254.88,4.895
3,10686.8,2.687,10686.8,2.735,1768.11,6.687,1768.11,6.271,4272.09,3.519,4272.09,3.551,4271.62,2.847,4271.62,3.039
