run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,10328.7,2.271,10328.7,2.223,1808.1,5.791,1808.1,6.143,4321.32,3.775,4321.32,3.439,4395.85,1.631,4395.85,1.783
2,11365.6,3.775,11365.6,1.271,1820.79,5.503,1820.79,6.143,4326.21,3.231,4326.21,6.527,4317.61,2.623,4317.61,3.119
3,10955.9,1.767,10955.9,2.335,1797.9,5.663,1797.9,9.599,4306.31,4.047,4306.31,4.095,4341.21,2.687,4341.21,2.287
4,10871.2,1.895,10871.2,2.223,1815.83,6.303,1815.83,6.079,4285.85,4.959,4285.85,4.991,4297.68,2.895,4297.68,2.623
5,10659.1,1.383,10659.1,2.847,1788.06,6.495,1788.06,6.463,4393.99,2.623,4393.99,2.623,4275.19,3.263,4275.19,4.575
