run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,10923.6,0.479,10923.6,0.567,2149.62,1.263,2149.62,1.263,4284.78,1.631,4284.78,1.631,4331.54,1.711,4331.54,1.687
2,11590.2,0.663,11590.2,0.671,2200.48,1.399,2200.48,1.367,4268.67,2.007,4268.67,1.967,4296.39,1.703,4296.39,1.583
3,11247.4,0.487,11247.4,0.487,2180.81,1.303,2180.81,1.431,4278.83,1.719,4278.83,1.647,4298.85,1.743,4298.85,1.703
