run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,10863.9,2.735,10863.9,2.799,1811.27,5.855,1811.27,5.823,4323.45,3.839,4323.45,1.487,4301.3,2.023,4301.3,3.231
2,11213,1.455,11213,1.519,1821.15,5.407,1821.15,6.207,4365.11,2.015,4365.11,3.263,4339.19,3.295,4339.19,4.031
3,11436.9,1.527,11436.9,1.527,1809.63,6.911,1809.63,5.407,4289.88,3.183,4289.88,2.415,4298.36,3.615,4298.36,4.255
4,10956.5,1.935,10956.5,1.847,1806.27,5.919,1806.27,5.919,4330.5,4.895,4330.5,3.215,4371.69,2.255,4371.69,2.703
5,10802.5,1.791,10802.5,1.775,1775.16,5.663,1775.16,5.599,4309.02,3.727,4309.02,3.455,4248.83,3.743,4248.83,7.647
