run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,11594.5,0.527,11594.5,0.519,2209.78,3.023,2209.78,2.719,4349.69,1.639,4349.69,1.631,4419.56,1.727,4419.56,1.671
2,11463,0.439,11463,0.479,2265.23,1.295,2265.23,1.071,4368.17,1.783,4368.17,1.735,4400.94,1.647,4400.94,1.919
3,11474,0.495,11474,0.607,2241.57,1.039,2241.57,1.063,4296.64,1.663,4296.64,1.671,4378.57,1.639,4378.57,1.671
