run,hash_hset_ops,hash_hset_p99_ms,hash_hdel_ops,hash_hdel_p99_ms,list_lpush_ops,list_lpush_p99_ms,list_lpop_ops,list_lpop_p99_ms,set_sadd_ops,set_sadd_p99_ms,set_srem_ops,set_srem_p99_ms,zset_zadd_ops,zset_zadd_p99_ms,zset_zrem_ops,zset_zrem_p99_ms
1,2759.93,2.575,2759.93,2.703,2189.56,1.287,2189.56,1.295,4366.42,1.543,4366.42,1.559,4340.16,1.591,4340.16,1.743
2,2766.05,2.447,2766.05,2.687,2186.56,0.951,2186.56,0.943,4363.88,1.599,4363.88,1.607,4289.24,1.703,4289.24,1.663
3,2753.3,2.639,2753.3,2.511,2182.07,0.767,2182.07,0.879,4303.29,1.647,4303.29,1.591,4294.65,1.527,4294.65,1.495
